table_name,ordinal_position,column_name,role_name,table_select,table_insert,table_update,table_delete,column_select,column_insert,column_update,has_column_acl
purchase_order,14,notes,anon,false,false,false,false,false,false,false,true
purchase_order,14,notes,authenticated,true,true,false,true,true,true,true,true
purchase_order,14,notes,service_role,true,true,true,true,true,true,true,true
purchase_order,15,placed_at,anon,false,false,false,false,false,false,false,false
purchase_order,15,placed_at,authenticated,true,true,false,true,true,true,false,false
purchase_order,15,placed_at,service_role,true,true,true,true,true,true,true,false
purchase_order,16,cancelled_at,anon,false,false,false,false,false,false,false,false
purchase_order,16,cancelled_at,authenticated,true,true,false,true,true,true,false,false
purchase_order,16,cancelled_at,service_role,true,true,true,true,true,true,true,false
purchase_order,17,ship_recipient_name,anon,false,false,false,false,false,false,false,false
purchase_order,17,ship_recipient_name,authenticated,true,true,false,true,true,true,false,false
purchase_order,17,ship_recipient_name,service_role,true,true,true,true,true,true,true,false
purchase_order,18,ship_contact_phone,anon,false,false,false,false,false,false,false,false
purchase_order,18,ship_contact_phone,authenticated,true,true,false,true,true,true,false,false
purchase_order,18,ship_contact_phone,service_role,true,true,true,true,true,true,true,false
purchase_order,19,ship_address_line_1,anon,false,false,false,false,false,false,false,false
purchase_order,19,ship_address_line_1,authenticated,true,true,false,true,true,true,false,false
purchase_order,19,ship_address_line_1,service_role,true,true,true,true,true,true,true,false
purchase_order,20,ship_address_line_2,anon,false,false,false,false,false,false,false,false
purchase_order,20,ship_address_line_2,authenticated,true,true,false,true,true,true,false,false
purchase_order,20,ship_address_line_2,service_role,true,true,true,true,true,true,true,false
purchase_order,21,ship_city,anon,false,false,false,false,false,false,false,false
purchase_order,21,ship_city,authenticated,true,true,false,true,true,true,false,false
purchase_order,21,ship_city,service_role,true,true,true,true,true,true,true,false
purchase_order,22,ship_country,anon,false,false,false,false,false,false,false,false
purchase_order,22,ship_country,authenticated,true,true,false,true,true,true,false,false
purchase_order,22,ship_country,service_role,true,true,true,true,true,true,true,false
purchase_order,23,ship_latitude,anon,false,false,false,false,false,false,false,false
purchase_order,23,ship_latitude,authenticated,true,true,false,true,true,true,false,false
purchase_order,23,ship_latitude,service_role,true,true,true,true,true,true,true,false
purchase_order,24,ship_longitude,anon,false,false,false,false,false,false,false,false
purchase_order,24,ship_longitude,authenticated,true,true,false,true,true,true,false,false
purchase_order,24,ship_longitude,service_role,true,true,true,true,true,true,true,false
review,1,id,anon,true,false,false,false,true,false,false,false
review,1,id,authenticated,true,true,true,true,true,true,true,false
review,1,id,service_role,true,true,true,true,true,true,true,false
review,2,customer_profile_id,anon,true,false,false,false,true,false,false,false
review,2,customer_profile_id,authenticated,true,true,true,true,true,true,true,false
review,2,customer_profile_id,service_role,true,true,true,true,true,true,true,false
review,3,target_kind,anon,true,false,false,false,true,false,false,false
review,3,target_kind,authenticated,true,true,true,true,true,true,true,false
review,3,target_kind,service_role,true,true,true,true,true,true,true,false
review,4,target_product_id,anon,true,false,false,false,true,false,false,false
review,4,target_product_id,authenticated,true,true,true,true,true,true,true,false
review,4,target_product_id,service_role,true,true,true,true,true,true,true,false
review,5,target_service_request_id,anon,true,false,false,false,true,false,false,false
review,5,target_service_request_id,authenticated,true,true,true,true,true,true,true,false
review,5,target_service_request_id,service_role,true,true,true,true,true,true,true,false
review,6,target_marketplace_party_id,anon,true,false,false,false,true,false,false,false
review,6,target_marketplace_party_id,authenticated,true,true,true,true,true,true,true,false
review,6,target_marketplace_party_id,service_role,true,true,true,true,true,true,true,false
review,7,rating,anon,true,false,false,false,true,false,false,false
review,7,rating,authenticated,true,true,true,true,true,true,true,false
review,7,rating,service_role,true,true,true,true,true,true,true,false
review,8,comment,anon,true,false,false,false,true,false,false,false
review,8,comment,authenticated,true,true,true,true,true,true,true,false
review,8,comment,service_role,true,true,true,true,true,true,true,false
review,9,created_at,anon,true,false,false,false,true,false,false,false
review,9,created_at,authenticated,true,true,true,true,true,true,true,false
review,9,created_at,service_role,true,true,true,true,true,true,true,false
saved_space,1,id,anon,false,false,false,false,false,false,false,false
saved_space,1,id,authenticated,true,true,true,true,true,true,true,false
saved_space,1,id,service_role,true,true,true,true,true,true,true,false
saved_space,2,customer_profile_id,anon,false,false,false,false,false,false,false,false
saved_space,2,customer_profile_id,authenticated,true,true,true,true,true,true,true,false
saved_space,2,customer_profile_id,service_role,true,true,true,true,true,true,true,false
saved_space,3,space_name,anon,false,false,false,false,false,false,false,false
saved_space,3,space_name,authenticated,true,true,true,true,true,true,true,false
saved_space,3,space_name,service_role,true,true,true,true,true,true,true,false
saved_space,4,width_cm,anon,false,false,false,false,false,false,false,false
saved_space,4,width_cm,authenticated,true,true,true,true,true,true,true,false
saved_space,4,width_cm,service_role,true,true,true,true,true,true,true,false
saved_space,5,depth_cm,anon,false,false,false,false,false,false,false,false
saved_space,5,depth_cm,authenticated,true,true,true,true,true,true,true,false
saved_space,5,depth_cm,service_role,true,true,true,true,true,true,true,false
saved_space,6,measurement_source,anon,false,false,false,false,false,false,false,false
saved_space,6,measurement_source,authenticated,true,true,true,true,true,true,true,false
saved_space,6,measurement_source,service_role,true,true,true,true,true,true,true,false
service_request,1,id,anon,false,false,false,false,false,false,false,false
service_request,1,id,authenticated,true,true,false,true,true,true,false,false
service_request,1,id,service_role,true,true,true,true,true,true,true,false
service_request,2,customer_profile_id,anon,false,false,false,false,false,false,false,false
service_request,2,customer_profile_id,authenticated,true,true,false,true,true,true,false,false
service_request,2,customer_profile_id,service_role,true,true,true,true,true,true,true,false
service_request,3,service_type_id,anon,false,false,false,false,false,false,false,false
service_request,3,service_type_id,authenticated,true,true,false,true,true,true,false,false
service_request,3,service_type_id,service_role,true,true,true,true,true,true,true,false
service_request,4,marketplace_party_id,anon,false,false,false,false,false,false,false,false
service_request,4,marketplace_party_id,authenticated,true,true,false,true,true,true,false,false
service_request,4,marketplace_party_id,service_role,true,true,true,true,true,true,true,false
service_request,5,address_id,anon,false,false,false,false,false,false,false,false
